"total","week","days.sunday","days.monday","days.tuesday","days.wednesday","days.thursday","days.friday","days.saturday"
4,"2019-03-31",0,2,0,0,0,2,0
8,"2019-04-07",0,4,0,2,2,0,0
3,"2019-04-14",0,0,0,1,1,1,0
9,"2019-04-21",0,2,4,2,0,1,0
7,"2019-04-28",0,2,2,0,2,1,0
10,"2019-05-05",0,3,3,2,0,2,0
4,"2019-05-12",0,0,1,1,2,0,0
1,"2019-05-19",0,0,0,0,0,1,0
9,"2019-05-26",0,0,2,2,1,4,0
7,"2019-06-02",0,0,3,1,0,3,0
17,"2019-06-09",0,3,3,11,0,0,0
10,"2019-06-16",0,4,0,5,1,0,0
10,"2019-06-23",1,2,2,0,3,2,0
3,"2019-06-30",0,1,0,1,1,0,0
6,"2019-07-07",0,0,3,1,1,1,0
0,"2019-07-14",0,0,0,0,0,0,0
0,"2019-07-21",0,0,0,0,0,0,0
1,"2019-07-28",0,0,0,0,0,1,0
0,"2019-08-04",0,0,0,0,0,0,0
1,"2019-08-11",0,0,0,1,0,0,0
0,"2019-08-18",0,0,0,0,0,0,0
0,"2019-08-25",0,0,0,0,0,0,0
0,"2019-09-01",0,0,0,0,0,0,0
0,"2019-09-08",0,0,0,0,0,0,0
2,"2019-09-15",0,0,0,1,1,0,0
1,"2019-09-22",0,0,0,0,1,0,0
3,"2019-09-29",0,1,0,2,0,0,0
1,"2019-10-06",0,0,0,0,0,1,0
0,"2019-10-13",0,0,0,0,0,0,0
1,"2019-10-20",0,0,0,1,0,0,0
0,"2019-10-27",0,0,0,0,0,0,0
1,"2019-11-03",0,0,0,0,0,1,0
4,"2019-11-10",0,0,0,1,0,3,0
6,"2019-11-17",0,0,2,2,2,0,0
1,"2019-11-24",0,1,0,0,0,0,0
0,"2019-12-01",0,0,0,0,0,0,0
1,"2019-12-08",0,0,0,0,0,1,0
0,"2019-12-15",0,0,0,0,0,0,0
0,"2019-12-22",0,0,0,0,0,0,0
0,"2019-12-29",0,0,0,0,0,0,0
0,"2020-01-05",0,0,0,0,0,0,0
2,"2020-01-12",0,1,1,0,0,0,0
1,"2020-01-19",0,0,0,0,0,1,0
1,"2020-01-26",0,0,0,0,0,1,0
2,"2020-02-02",0,1,1,0,0,0,0
1,"2020-02-09",0,0,0,0,0,1,0
0,"2020-02-16",0,0,0,0,0,0,0
1,"2020-02-23",0,0,0,1,0,0,0
0,"2020-03-01",0,0,0,0,0,0,0
0,"2020-03-08",0,0,0,0,0,0,0
0,"2020-03-15",0,0,0,0,0,0,0
0,"2020-03-22",0,0,0,0,0,0,0
